"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"4210","CTAS","2018-05-31","USD",6476632000,-3568109000,2908523000,-1916792000,-1916792000,NA,NA,991731000,-108833000,-108833000,882898000,-41897000,841001000,-57069000,783932000,58654000,842586000,842586000,842586000,-38920000,-54982000,-66267000,-3323000,35275000,-20667000,964160000,-271699000,26149000,-19346000,-135698000,-175589000,-600500000,-85471000,-864140000,-30542000,331923,2018,"Q4","2018-07-27","2018-10-05",107734000,110710000,138724000,804583000,280347000,1977932000,1382730000,175581000,3421971000,4980282000,6958214000,775857000,NA,775857000,2535309000,3165831000,3941688000,863675000,-3701319000,5837827000,3016526000,6958214000,"CINTAS CORP",100002
"4221","CTL","2018-12-31","USD",2.3443e+10,-1.0862e+10,1.2581e+10,-9.285e+09,-4.165e+09,NA,-5.12e+09,3.296e+09,-2.133e+09,-2.177e+09,1.163e+09,-2.726e+09,-1.563e+09,-1.7e+08,-1.733e+09,NA,-1.733e+09,-1.733e+09,-1.733e+09,3.294e+09,3.51e+08,2.5e+07,NA,1.24e+08,2.02e+08,7.032e+09,-3.017e+09,NA,0,-3.078e+09,-2.312e+09,-1.661e+09,NA,-4.023e+09,-6.9e+07,373834,2018,"Q4","2019-03-11","2019-05-10",1066053000,1053111000,4.88e+08,2.398e+09,NA,3.82e+09,2.6408e+10,NA,4.0028e+10,6.6436e+10,7.0256e+10,1.933e+09,6.52e+08,5.531e+09,3.5409e+10,4.4897e+10,5.0428e+10,2.3932e+10,NA,-1.643e+09,1.9828e+10,7.0256e+10,"CENTURYLINK, INC",108001
"4226","CTMX","2018-12-31","USD",59502000,NA,59502000,-137376000,-33510000,-103866000,NA,-77874000,7573000,7641000,-70301000,NA,-70301000,-14303000,-84604000,NA,-84604000,-84604000,-84604000,15177000,-7978000,NA,NA,NA,NA,-75521000,-3788000,-204601000,NA,5926000,NA,134596000,5028000,139624000,70029000,789985,2018,"Q4","2019-02-27","2019-05-09",45131119,45131119,436127000,97000,NA,445475000,6934000,NA,4699000,11633000,457108000,45195000,NA,97908000,NA,228317000,326225000,445957000,NA,-314981000,130883000,457108000,"CytomX Therapeutics, Inc.",106002
"4235","CTS","2018-12-31","USD",470483000,-305510000,164973000,-98873000,-73569000,-25304000,NA,66100000,-2935000,-259000,63165000,-5062000,58103000,-11571000,46532000,NA,46532000,46532000,46532000,5596000,-16490000,NA,NA,NA,NA,58152000,-28485000,NA,0,-28485000,-5285000,-26300000,-9440000,-42493000,-12639000,923326,2018,"Q4","2019-02-22","2019-04-25",32983000,33548000,100933000,79518000,43486000,239359000,99401000,NA,209581000,308982000,548341000,103993000,NA,103993000,62429000,66419000,170412000,349517000,-352696000,478847000,377929000,548341000,"CTS CORP",NA
"4246","CTSH","2018-12-31","USD",1.6125e+10,-9.838e+09,6.287e+09,-3.486e+09,-3.026e+09,NA,-4.6e+08,2.801e+09,1.48e+08,1.5e+08,2.949e+09,-1.52e+08,2.797e+09,-6.98e+08,2.101e+09,NA,2.101e+09,2.101e+09,2.101e+09,4e+08,-4.07e+08,-3.65e+08,NA,-4e+06,-3.8e+07,2.592e+09,-3.77e+08,6e+07,-1.111e+09,-1.627e+09,-4.68e+08,-1.41e+08,-1.08e+09,-1.693e+09,-7.64e+08,128066,2018,"Q4","2019-02-19","2019-02-19",5.77e+08,5.81e+08,4.511e+09,3.257e+09,NA,8.677e+09,1.394e+09,8e+07,5.762e+09,7.236e+09,1.5913e+10,2.482e+09,9e+06,2.777e+09,7.36e+08,1.712e+09,4.489e+09,5.3e+07,NA,1.1485e+10,1.1424e+10,1.5913e+10,"COGNIZANT TECHNOLOGY SOLUTIONS CORP",101003
"4257","CTXS","2018-12-31","USD",2973903000,-433803000,2540100000,-1845415000,-1389577000,-439984000,NA,694685000,-48505000,-40132000,646180000,-16725000,629455000,-53788000,575667000,0,575667000,575667000,575667000,350441000,30254000,18703000,-8239000,6804000,12986000,1035345000,-72564000,456875000,-248929000,132180000,-46799000,-278660000,-1260989000,-1658041000,-496364000,131663,2018,"Q4","2019-02-15","2019-02-15",133824000,144333000,1202381000,688420000,21905000,2086901000,243396000,574319000,2231433000,3049148000,5136049000,410452000,NA,1755695000,1897270000,2828835000,4584530000,5404810000,-9014156000,4169019000,551519000,5136049000,"CITRIX SYSTEMS INC",101003
"4267","CUB","2018-09-30","USD",1202898000,-835392000,367506000,-338106000,-258644000,-52398000,-27064000,29400000,-9496000,-8809000,19904000,-5018000,14886000,-7093000,7793000,4243000,12310000,12310000,7793000,-2560000,-43244000,NA,NA,NA,NA,18965000,-29296000,-1500000,-16322000,86677000,-7355000,-41804000,-2449000,-51185000,52065000,727716,2018,"Q4","2018-11-15","2018-11-15",27254000,27600000,112208000,392367000,84199000,668147000,117546000,NA,519190000,636736000,1304883000,252398000,NA,328339000,208849000,252348000,580687000,45008000,-36078000,801834000,724196000,1304883000,"CUBIC CORP /DE/",100008
"4277","CUBE","2018-12-31","USD",597944000,-196866000,401078000,-181062000,-37712000,NA,-143350000,220016000,-62791000,-62132000,157225000,8263000,165488000,NA,165488000,NA,163889000,163889000,165488000,-4874000,-1942000,NA,NA,NA,NA,304335000,-328138000,NA,-10510000,-322259000,-221328000,104009000,135665000,15248000,-2676000,117529,2018,"Q4","2019-02-22","2019-02-22",186546000,187319000,3764000,NA,NA,7445000,3600968000,95796000,48763000,3745527000,3752972000,318787000,NA,341382000,1638848000,1639322000,1980704000,2502622000,NA,-791915000,1772268000,3752972000,"CubeSmart",109001
"4286","CUO","2018-12-31","USD",163983000,-136176000,27807000,-28862000,-26229000,NA,-2633000,-1055000,-438000,-463000,-1493000,-6548000,-8041000,2185000,-5856000,NA,-5856000,-5856000,-5856000,3799000,2116000,NA,NA,NA,NA,2692000,-1270000,NA,NA,-1270000,NA,-1330000,NA,-1335000,87000,884109,2018,"Q4","2019-03-28","2019-05-14",1696000,1696000,594000,15321000,14806000,47342000,10431000,NA,17930000,28361000,75703000,13316000,NA,20190000,NA,6737000,26927000,2573000,-14928000,61131000,48776000,75703000,"CONTINENTAL MATERIALS CORP",100001
"4295","CUZ","2018-12-31","USD",475212000,-168460000,306752000,-203422000,-22040000,NA,-181382000,103330000,-39986000,-39430000,63344000,5197000,68541000,NA,80765000,0,79164000,79164000,80765000,175937000,-27668000,NA,NA,NA,NA,229034000,NA,0,-50933000,-284484000,-107167000,-37568000,0,-147600000,-203050000,446395,2018,"Q4","2019-02-06","2019-02-06",105096750,106794000,2547000,13821000,NA,16516000,3699791000,161907000,268082000,4129780000,4146296000,110159000,NA,262570000,1062570000,1062570000,1325140000,4036916000,-148473000,NA,2821156000,4146296000,"Cousins Properties Inc",109001
"4304","CVCO","2019-03-31","USD",962746000,-757040000,205706000,-121568000,-121568000,NA,NA,84138000,2538000,-3444000,86676000,NA,86676000,-18054000,68622000,NA,68622000,68622000,68622000,7024000,-47508000,NA,NA,NA,NA,32836000,-7511000,1696000,0,-5815000,NA,-26296000,-114000,-26410000,611000,890460,2018,"Q4","2019-05-29","2019-10-30",9097261,9233492,199990000,40701000,116203000,462049000,63484000,32137000,167546000,263167000,725216000,154486000,19522000,174008000,14618000,21620000,195628000,249538000,NA,280078000,529588000,725216000,"CAVCO INDUSTRIES INC.",103013
"4313","CVGI","2018-12-31","USD",897737000,-768885000,128852000,-61979000,-60679000,NA,-1300000,66873000,-13365000,-14676000,53508000,NA,53508000,-8996000,44512000,NA,44512000,44512000,44512000,16620000,-35558000,NA,NA,NA,NA,40992000,-14101000,NA,NA,-14101000,NA,-4375000,NA,-5835000,18669000,773452,2018,"Q4","2019-03-11","2019-03-11",30451000,30623000,70913000,134624000,92359000,314724000,65099000,NA,38307000,103406000,418130000,123614000,9102000,132716000,154656000,170376000,303092000,243325000,-10245000,-70571000,115038000,418130000,"Commercial Vehicle Group, Inc.",103005
"4316","CVNA","2018-12-31","USD",1955467000,-1758758000,196709000,-425258000,-425258000,NA,NA,-228549000,-26196000,-25018000,-254745000,-1380000,-256125000,0,-256125000,NA,-63134000,-67340000,-254745000,-36302000,-146832000,NA,NA,NA,NA,-414340000,-143668000,NA,-6670000,-150338000,-4619000,311700000,173082000,466264000,-98414000,717670,2018,"Q4","2019-02-27","2019-05-08",39391000,39391000,78861000,33120000,412243000,662854000,296839000,NA,31320000,328159000,991013000,121415000,11133000,329511000,425349000,434074000,763585000,148061000,NA,-74653000,227428000,991013000,"CARVANA CO.",103002
"4327","CVS","2018-12-31","USD",1.94579e+11,-1.63041e+11,3.1538e+10,-2.7517e+10,NA,NA,NA,4.021e+09,-2.615e+09,-2.619e+09,1.406e+09,0,1.406e+09,-2.002e+09,-5.96e+08,0,-5.94e+08,-5.94e+08,NA,8.865e+09,NA,NA,NA,NA,NA,8.865e+09,-2.037e+09,NA,-4.1394e+10,-4.2839e+10,-2.038e+09,3.8265e+10,2.42e+08,3.6373e+10,2.395e+09,256275,2018,"Q4","2019-02-28","2019-05-01",1.122e+09,1.117e+09,6.581e+09,1.7631e+10,1.645e+10,4.5243e+10,1.1349e+10,1.5732e+10,1.24132e+11,1.51213e+11,1.96456e+11,1.9636e+10,4.924e+09,4.4009e+10,7.1444e+10,9.3904e+10,1.37913e+11,4.544e+10,-2.8228e+10,4.0911e+10,5.8543e+10,1.96456e+11,"CVS HEALTH Corp",106006
"4335","CVSI","2018-12-31","USD",48244000,-14366000,33878000,-23631000,-21746000,-1885000,NA,10247000,-153000,-153000,10094000,0,10094000,-93000,10001000,NA,10001000,10001000,10001000,3310000,-1271000,NA,NA,NA,NA,12559000,-893000,NA,NA,-1244000,NA,-1026000,514000,-1172000,10143000,150939,2018,"Q4","2019-03-12","2019-05-09",94799020,133888879,12684000,3340000,8550000,27469000,2844000,NA,6589000,9433000,36902000,3918000,474000,4392000,NA,2394000,6786000,55143000,NA,-25027000,30116000,36902000,"CV Sciences, Inc.",NA
"4346","CVX","2018-12-31","USD",1.58902e+11,-1.15122e+11,4.378e+10,-2.9894e+10,-3.838e+09,NA,-1.9419e+10,1.3886e+10,6.689e+09,-7.48e+08,2.0575e+10,NA,2.0575e+10,-5.715e+09,1.486e+10,NA,1.4824e+10,1.4824e+10,1.486e+10,-2.326e+09,-1.335e+09,4.18e+08,NA,NA,-1.753e+09,3.0618e+10,-1.14e+10,-5.1e+07,NA,-1.229e+10,-8.502e+09,-5.106e+09,NA,-1.3699e+10,4.538e+09,248396,2018,"Q4","2019-02-22","2019-02-22",1894918000,1906359000,9.395e+09,1.505e+10,5.704e+09,3.4021e+10,1.69207e+11,3.7488e+10,1.3147e+10,2.19842e+11,2.53863e+11,1.9817e+10,5.726e+09,2.7171e+10,2.8733e+10,7.105e+10,9.8221e+10,1.8704e+10,-4.1593e+10,1.80987e+11,1.55642e+11,2.53863e+11,"CHEVRON CORP",107005
"4349","CWEN","2018-12-31","USD",1.053e+09,-3.32e+08,7.21e+08,-3.51e+08,-2e+07,NA,-3.31e+08,3.7e+08,-2.24e+08,-3.06e+08,1.46e+08,-3.4e+07,1.12e+08,-6.2e+07,5e+07,NA,4.8e+07,4.8e+07,5.4e+07,9.7e+07,1.6e+07,NA,NA,NA,NA,4.98e+08,-8.3e+07,NA,-1.71e+08,-1.85e+08,-2.38e+08,-3.8e+07,1.53e+08,-4.6e+07,2.67e+08,904225,2018,"Q4","2019-02-28","2019-05-07",1.1e+08,8.5e+07,4.07e+08,1.04e+08,4e+07,7.56e+08,5.245e+09,1.172e+09,1.327e+09,7.744e+09,8.5e+09,1.46e+08,5.35e+08,7.04e+08,5.447e+09,5.572e+09,6.276e+09,1.898e+09,NA,-5.8e+07,2.224e+09,8.5e+09,"Clearway Energy, Inc.",105001
"4353","CWH","2018-12-31","USD",4792017000,-3429465000,1362552000,-1121491000,-1069359000,NA,-49322000,241061000,-101644000,-101644000,139417000,-43046000,96371000,-30790000,65581000,NA,10398000,10398000,65581000,70940000,-49551000,NA,NA,NA,NA,136292000,-193449000,NA,-99240000,-292689000,-22697000,199404000,153000,70791000,-85606000,744377,2018,"Q4","2019-03-15","2019-05-10",37142000,244090000,138557000,85711000,1558970000,1888162000,359855000,NA,558670000,918525000,2806687000,269427000,885980000,1305118000,1191627000,1468652000,2773770000,47908000,NA,-3370000,32917000,2806687000,"Camping World Holdings, Inc.",103005
"4364","CWS","2018-12-31","USD",9508042,-13924107,-4416065,-19762775,-16211430,-498803,-1132052,-24178840,-9304369,-358279,-33483209,-8619109,-42102318,0,-42102318,16237,-41117288,-41117288,-42086081,33654579,1220811,NA,NA,NA,NA,-2457420,-74832,NA,NA,-72491,NA,858190,256410,2014600,-433216,543877,2018,"Q4","2019-04-16","2019-07-25",9396837,9396837,781740,4327980,6414305,21217009,21563420,NA,3562513,25125933,46342942,5094611,2893464,10660607,244910,244910,10905517,60812172,NA,-27492559,35437425,46342942,"Cleantech Solutions International, Inc.,",100001
"4374","CXO","2018-12-31","USD",4.151e+09,-5.9e+08,3.561e+09,-2.214e+09,-3.11e+08,NA,-1.478e+09,1.347e+09,-4.1e+07,-1.49e+08,1.306e+09,1.583e+09,2.889e+09,-6.03e+08,2.286e+09,NA,2.286e+09,2.286e+09,2.286e+09,-9.92e+08,4e+06,-3.5e+07,-1.2e+07,1e+06,5e+07,2.776e+09,-2.361e+09,NA,0,-2.434e+09,NA,-1.75e+08,-6.4e+07,-3.42e+08,0,378119,2018,"Q4","2019-02-20","2019-02-20",198884000,199153000,0,4.66e+08,NA,1.374e+09,2.2313e+10,NA,2.607e+09,2.492e+10,2.6294e+10,7.83e+08,NA,1.356e+09,4.194e+09,6.17e+09,7.526e+09,1.4773e+10,-1.31e+08,4.126e+09,1.8768e+10,2.6294e+10,"Concho Resources",107002
"4384","CXW","2018-12-31","USD",1835766000,-1315250000,520516000,-269451000,-106865000,NA,-156501000,251065000,-80909000,-80753000,170156000,-2596000,167560000,-8353000,159207000,NA,159207000,159207000,159207000,8111000,-939000,NA,NA,NA,NA,322880000,-108766000,NA,-175588000,-291057000,-204198000,188684000,-638000,-9869000,21954000,949493,2018,"Q4","2019-02-25","2019-11-07",118674000,118858000,52802000,270597000,NA,373525000,2830589000,NA,451546000,3282135000,3655660000,352275000,14121000,366396000,1787555000,1874205000,2240601000,1808389000,NA,-393330000,1415059000,3655660000,"CoreCivic, Inc.",109002
"4394","CY","2018-12-31","USD",2483840000,-1552385000,931455000,-767027000,-403031000,-363996000,NA,164428000,-67845000,-65327000,96583000,NA,96583000,315618000,354831000,NA,354592000,354592000,354831000,-62185000,-103931000,NA,NA,NA,NA,471700000,-63130000,0,-2655000,-49690000,-157364000,-126239000,8979000,-287886000,134124000,526074,2018,"Q4","2019-02-27","2019-04-26",361627000,371887000,285720000,324274000,292093000,1016760000,282986000,65145000,2328324000,2676455000,3693215000,312457000,6943000,620552000,874235000,955624000,1576176000,5641472000,-2370452000,-1157115000,2117039000,3693215000,"CYPRESS SEMICONDUCTOR CORP /DE/",101004
"4398","CYAN","2019-03-31","USD",30202000,-19736000,10466000,-13463000,-12540000,-923000,NA,-2997000,-582000,-582000,-3579000,NA,-3579000,-17000,-3596000,NA,-3596000,-3596000,-3596000,393000,448000,NA,NA,NA,NA,-847000,-431000,NA,NA,-531000,NA,748000,108000,824000,-554000,65022,2018,"Q4","2019-07-01","2019-08-13",5849000,5823000,840000,1982000,11274000,14592000,14752000,NA,282000,15034000,29626000,5914000,2948000,9488000,5172000,5229000,14717000,32564000,NA,-17655000,14909000,29626000,"CYANOTECH CORP",102002
"4407","CYCC","2018-12-31","USD",150000,NA,150000,-9698000,-5371000,-4327000,NA,-9548000,923000,331000,-8625000,NA,-8625000,1337000,-7288000,NA,-7288000,-7489000,-7288000,331000,227000,NA,NA,NA,NA,-6701000,-39000,NA,NA,-39000,-201000,NA,630000,429000,-6406000,899362,2018,"Q4","2019-03-28","2019-03-28",619209,619209,17504000,NA,NA,19787000,36000,NA,NA,36000,19823000,4451000,NA,4451000,NA,1e+05,4551000,365829000,NA,-349797000,15272000,19823000,"Cyclacel Pharmaceuticals, Inc.",106002
"4428","CZR","2018-12-31","USD",8.391e+09,-3.944e+09,4.447e+09,-3.63e+09,-1.796e+09,NA,-1.145e+09,8.17e+08,-5.55e+08,-1.346e+09,2.62e+08,-7.9e+07,1.83e+08,1.21e+08,3.04e+08,NA,3.03e+08,3.03e+08,3.04e+08,1.4e+07,-6.77e+08,NA,NA,NA,NA,7.86e+08,-5.85e+08,2.1e+07,-1.578e+09,-2.135e+09,NA,-1.36e+08,-3.05e+08,2.97e+08,-1.052e+09,821879,2018,"Q4","2019-02-22","2019-02-22",6.68e+08,1.13e+09,1.491e+09,4.57e+08,4.1e+07,2.265e+09,1.6045e+10,NA,7.465e+09,2.351e+10,2.5775e+10,1.672e+09,1.64e+08,2e+09,1.8858e+10,2.0437e+10,2.2437e+10,1.4131e+10,-4.85e+08,-1.0372e+10,3.338e+09,2.5775e+10,"CAESARS ENTERTAINMENT Corp",103015
"4439","D","2018-12-31","USD",1.3366e+10,-3.581e+09,9.785e+09,-6.161e+09,NA,NA,-2e+09,3.624e+09,-4.72e+08,-1.493e+09,3.152e+09,-2.3e+07,3.129e+09,-5.8e+08,2.549e+09,NA,2.447e+09,2.447e+09,2.549e+09,1.85e+08,-2.41e+08,-1.1e+08,-2.9e+07,6.7e+07,-1.69e+08,4.773e+09,-2.026e+09,-9e+07,3.6e+07,-2.412e+09,-2.185e+09,-2.284e+09,2.519e+09,-2.155e+09,2.06e+08,189087,2018,"Q4","2019-02-01","2019-02-28",659600000,661100000,2.68e+08,1.749e+09,1.418e+09,5.161e+09,5.456e+10,NA,1.8193e+10,7.2753e+10,7.7914e+10,1.75e+09,3.958e+09,7.647e+09,3.1144e+10,4.8219e+10,5.5866e+10,1.2588e+10,NA,9.219e+09,2.2048e+10,7.7914e+10,"DOMINION RESOURCES INC /VA/",105001
"4449","DAL","2018-12-31","USD",4.4438e+10,-3.188e+10,1.2558e+10,-7.294e+09,-1.941e+09,NA,-2.329e+09,5.264e+09,-1.27e+08,-3.11e+08,5.137e+09,1.4e+07,5.151e+09,-1.216e+09,3.935e+09,NA,3.935e+09,3.935e+09,3.935e+09,3.27e+08,4.23e+08,1.08e+08,3.24e+08,NA,-9e+06,7.014e+09,-1.464e+09,NA,0,-4.393e+09,-9.09e+08,7e+08,-1.575e+09,-1.726e+09,8.95e+08,231789,2018,"Q4","2019-02-15","2019-02-15",6.79e+08,6.85e+08,1.768e+09,2.314e+09,1.055e+09,6.34e+09,2.8335e+10,NA,2.5591e+10,5.3926e+10,6.0266e+10,7.38e+09,3.548e+09,1.8578e+10,8.253e+09,2.8001e+10,4.6579e+10,1.1671e+10,-1.98e+08,1.0039e+10,1.3687e+10,6.0266e+10,"DELTA AIR LINES INC /DE/",100006
"4458","DAN","2018-12-31","USD",8.143e+09,-6.986e+09,1.157e+09,-5.07e+08,-4.99e+08,NA,-8e+06,6.5e+08,-1.14e+08,-8.5e+07,5.36e+08,-4.2e+07,4.94e+08,-7.8e+07,4.4e+08,NA,4.27e+08,4.27e+08,4.4e+08,-3e+07,-1.15e+08,NA,NA,NA,NA,5.65e+08,-3.25e+08,1.5e+07,-1.59e+08,-4.62e+08,-5.8e+07,-3.4e+07,-2.5e+07,-1.8e+08,-7.7e+07,980331,2018,"Q4","2019-02-15","2020-02-14",144600000,146100000,5.31e+08,1.065e+09,1.031e+09,2.907e+09,1.85e+09,2.08e+08,9.53e+08,3.011e+09,5.918e+09,1.719e+09,2.8e+07,1.747e+09,1.755e+09,2.629e+09,4.376e+09,2.37e+09,-1.19e+08,4.56e+08,1.542e+09,5.918e+09,"DANA INC",103005
"4465","DATA","2018-12-31","USD",1155352000,-142624000,1012728000,-1102477000,-719591000,-382886000,NA,-89749000,17872000,NA,-71877000,NA,-71877000,-5165000,-77042000,NA,-77042000,-77042000,-77042000,236127000,-40176000,NA,NA,NA,NA,154696000,-20446000,-20271000,-10947000,-51664000,NA,NA,-75314000,-75314000,25144000,711049,2018,"Q4","2019-02-22","2019-07-31",83978000,83978000,1022377000,236063000,NA,1415720000,94537000,26278000,98190000,219005000,1634725000,170685000,NA,548577000,NA,72563000,621140000,1340636000,NA,-315593000,1013585000,1634725000,"Tableau Software Inc",101003
"4475","DBD","2018-12-31","USD",4578600000,-3687700000,890900000,-1.043e+09,-885600000,-157400000,NA,-152100000,-152700000,-146200000,-304800000,-210800000,-515600000,-37200000,-5.66e+08,0,-568700000,-568700000,-5.66e+08,261900000,-58700000,NA,NA,NA,NA,-104100000,-77300000,117600000,-5900000,34400000,-7700000,438200000,-3e+06,10900000,-77500000,770497,2018,"Q4","2019-03-01","2019-07-30",76100000,76100000,491900000,737200000,610100000,2203400000,304100000,22400000,1.782e+09,2108500000,4311900000,693800000,49500000,1568400000,2.19e+09,2772700000,4341100000,8.56e+08,-570400000,-168300000,-29200000,4311900000,"DIEBOLD NIXDORF, Inc",101003
"4477","DBX","2018-12-31","USD",1391700000,-394700000,9.97e+08,-1.491e+09,-722800000,-768200000,NA,-4.94e+08,13900000,7100000,-480100000,NA,-480100000,-4800000,-484900000,NA,-484900000,-484900000,-484900000,660300000,80200000,NA,NA,NA,NA,422400000,-6.3e+07,-850400000,NA,-630800000,NA,6.34e+08,26200000,300800000,89300000,808182,2018,"Q4","2019-02-25","2019-08-09",410400000,410400000,1089300000,28600000,NA,1210200000,310600000,NA,173300000,483900000,1694100000,278700000,73800000,837500000,89900000,179800000,1017300000,2337500000,NA,-1659500000,676800000,1694100000,"DROPBOX, INC.",101003
"4486","DCI","2018-07-31","USD",2734200000,-1798700000,935500000,-555500000,-495600000,-59900000,NA,3.8e+08,-16400000,-21300000,363600000,NA,363600000,-183300000,180300000,NA,180300000,180300000,180300000,-6600000,12500000,NA,NA,NA,NA,262900000,-95900000,NA,NA,-95400000,-94700000,-68700000,-102800000,-268800000,-103700000,50564,2018,"Q4","2018-10-01","2018-10-01",129700000,133600000,204700000,534600000,334100000,1073400000,509300000,NA,393900000,903200000,1976600000,339300000,43500000,469400000,499600000,649400000,1118800000,758200000,-898800000,1122100000,857800000,1976600000,"DONALDSON CO INC",100001
"4490","DCPH","2018-12-31","USD",0,NA,0,-104099000,-21212000,-82887000,NA,-104099000,4245000,-84000,-99854000,NA,-99854000,NA,-99854000,NA,-99854000,-99854000,-99854000,9688000,3066000,NA,NA,NA,NA,-86783000,-1125000,NA,NA,-2194000,NA,-187000,186174000,185987000,97010000,785694,2018,"Q4","2019-03-14","2019-08-02",37746208,37746208,293764000,NA,NA,301037000,13453000,1069000,NA,14522000,315559000,22204000,NA,22743000,NA,12835000,35578000,575704000,NA,-295723000,279981000,315559000,"Deciphera Pharmaceuticals, Inc.",106002
"4493","DD","2018-12-31","USD",8.5977e+10,-6.5333e+10,2.0644e+10,-1.1672e+10,-6.709e+09,-3.06e+09,-1.903e+09,8.972e+09,8.9e+07,-1.504e+09,9.061e+09,-3.568e+09,5.493e+09,-1.489e+09,4.004e+09,-5e+06,3.844e+09,3.844e+09,4e+09,1.71e+08,-5.358e+09,NA,NA,NA,NA,4.731e+09,-3.833e+09,6.15e+08,1.82e+08,-2.462e+09,-3.491e+09,6.669e+09,-4.224e+09,-1.918e+09,7e+06,546332,2018,"Q4","2019-02-11","2019-02-11",2281900000,2292800000,1.3616e+10,1.2376e+10,1.6621e+10,4.9603e+10,3.5848e+10,8.382e+09,9.4197e+10,1.38427e+11,1.8803e+11,2.1913e+10,2.802e+09,2.4715e+10,3.7662e+10,6.7136e+10,9.1851e+10,8.1984e+10,-5.421e+09,3.0536e+10,9.6179e+10,1.8803e+11,"DUPONT DE NEMOURS, INC.",110001
"4502","DDD","2018-12-31","USD",687660000,-363266000,324394000,-367585000,-272287000,-95298000,NA,-43191000,-37000,-37000,-43228000,NA,-43228000,-2035000,-45263000,NA,-45505000,-45505000,-45263000,30085000,-39319000,NA,NA,NA,NA,4796000,-41331000,NA,0,-41827000,NA,24306000,NA,14264000,-25912000,545133,2018,"Q4","2019-02-28","2019-05-07",113035000,113035000,109998000,126618000,133161000,397474000,103252000,NA,325106000,428358000,825832000,125987000,654000,164060000,31392000,76913000,240973000,1355620000,-15572000,-722701000,584859000,825832000,"3D SYSTEMS CORP",101001
"4511","DDE","2018-12-31","USD",179931000,-133967000,45964000,-43969000,-5324000,NA,-8231000,1995000,-488000,-790000,1507000,-1090000,417000,-387000,30000,NA,30000,30000,30000,704000,1030000,NA,NA,NA,NA,9995000,-4826000,-12000,NA,-4838000,NA,-4900000,-74000,-5007000,150000,157094,2018,"Q4","2019-03-21","2019-03-21",32446000,32446000,10864000,4297000,1975000,27569000,131322000,NA,1824000,133146000,160715000,12753000,NA,39488000,NA,6883000,46371000,9356000,NA,109881000,114344000,160715000,"DOVER DOWNS GAMING & ENTERTAINMENT INC",103015
"4514","DDOG","2018-12-31","USD",198077000,-46529000,151548000,-162581000,-107405000,-55176000,NA,-11033000,793000,NA,-10240000,NA,-10240000,-522000,-10762000,NA,-10762000,-10762000,-10762000,8401000,7164000,NA,NA,NA,NA,10829000,-15838000,NA,-1618000,-17456000,NA,NA,7782000,7782000,1202000,963381,2018,"Q4","2019-02-13","2019-11-13",74876,74876,53639000,55822000,NA,121951000,21649000,NA,36150000,57799000,179750000,42928000,NA,112234000,NA,2752000,114986000,30834000,NA,-106906000,64764000,179750000,"Datadog, Inc.",101003
"4524","DDS","2019-02-28","USD",6503349000,-4291520000,2211829000,-1943641000,-1691180000,NA,-223815000,268188000,-60178000,-52518000,208010000,-48000,207962000,-37730000,170263000,NA,170263000,170263000,170263000,226231000,-29206000,NA,NA,NA,NA,367288000,-135061000,NA,NA,-127749000,-11108000,-162066000,-129884000,-303058000,-63519000,949971,2018,"Q4","2019-03-29","2019-09-11",26483000,26483000,123509000,49853000,1528417000,1770532000,1586733000,NA,74104000,1660837000,3431369000,932321000,0,933535000,365569000,819453000,1752988000,950074000,-3716890000,4458006000,1678381000,3431369000,"DILLARD'S, INC.",103002
