"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"12036","PSA","2018-12-31","USD",2754280000,-739722000,2014558000,-602366000,-118720000,NA,-483646000,1412192000,115512000,-32542000,1527704000,189519000,1717223000,NA,1717223000,NA,1711031000,1488900000,1717223000,-131441000,-7925000,NA,NA,NA,-7925000,2061503000,-605705000,NA,NA,-513778000,NA,-1784000,12525000,-1619588000,-72034000,378204,2018,"Q4","2019-02-27","2019-02-27",174077000,174468000,361218000,NA,NA,361218000,9442111000,NA,1124941000,10567052000,10928270000,371259000,NA,371259000,1412283000,1412283000,1783542000,5735898000,NA,-577360000,9144728000,10928270000,"Public Storage",109001
"12044","PSDV","2018-06-30","USD",2961000,NA,2961000,-29235000,-13057000,-16178000,NA,-26274000,-619000,-720000,-26893000,-26278000,-53171000,0,-53171000,NA,-53171000,-53171000,-53171000,29191000,925000,NA,NA,NA,NA,-21907000,-108000,0,-16780000,-16888000,NA,2e+07,42018000,60671000,21878000,232734,2018,"Q4","2018-09-18","2018-11-09",55300000,55300000,38776000,353000,NA,39909000,253000,NA,31508000,31761000,71670000,6663000,NA,21663000,17309000,38320000,59983000,374840000,NA,-363991000,11687000,71670000,"pSivida Corp.",106005
"12056","PSEG","2018-12-31","USD",9.696e+09,-3.225e+09,6.471e+09,-4.173e+09,-3.015e+09,NA,-1.158e+09,2.298e+09,-3.76e+08,-4.76e+08,1.922e+09,-6.7e+07,1.855e+09,-4.17e+08,1.438e+09,NA,1.438e+09,1.438e+09,1.438e+09,5.8e+08,-3.6e+08,NA,NA,NA,-3.6e+08,2.913e+09,-4.058e+09,2.8e+07,NA,-3.916e+09,-9.1e+08,1.874e+09,NA,8.87e+08,-1.16e+08,117316,2018,"Q4","2019-02-28","2019-05-02",5.04e+08,5.07e+08,1.77e+08,1.435e+09,5.71e+08,3.507e+09,3.4363e+10,NA,7.456e+09,4.1819e+10,4.5326e+10,1.561e+09,2.31e+09,4.935e+09,1.3168e+10,2.6014e+10,3.0949e+10,4.98e+09,-8.08e+08,1.0582e+10,1.4377e+10,4.5326e+10,"PUBLIC SERVICE ENTERPRISE GROUP INC",105001
"12065","PSSR","2018-10-31","USD",14817799,-10481134,4336665,-9481693,-8887985,-593708,NA,-5145028,-334724,-335948,-5479752,NA,-5479752,-4634,-5484386,NA,-5484386,-5484386,-5484386,2353592,229446,NA,NA,NA,NA,660329,-259871,NA,NA,-3084619,NA,2250000,NA,2250000,-174290,210051,2018,"Q4","2019-01-29","2019-01-29",7696091,7696091,100856,1186664,NA,1486693,NA,NA,13727491,13727491,15214184,2179300,NA,5139896,NA,6459971,11599867,17430254,-1933678,-11882259,3614317,15214184,"PASSUR Aerospace, Inc.",100008
"12071","PSTG","2019-01-31","USD",1359824000,-457528000,902296000,-1071553000,-721617000,-349936000,NA,-169257000,-8016000,NA,-177273000,0,-177273000,-1089000,-178362000,NA,-178362000,-178362000,-178362000,226637000,45270000,NA,NA,NA,NA,164423000,-100246000,-397199000,-13899000,-511344000,NA,555961000,61215000,551914000,204993000,40474,2018,"Q4","2019-03-26","2019-08-30",239836000,239836000,1197472000,378729000,44687000,1701827000,125353000,NA,145845000,271198000,1973025000,243232000,NA,509816000,449828000,725429000,1235245000,1820067000,NA,-1081949000,737780000,1973025000,"Pure Storage, Inc.",101001
"12079","PSTI","2018-06-30","USD",50000,-2000,48000,-33822000,-11193000,-22629000,NA,-33774000,7648000,NA,-26126000,NA,-26126000,NA,-26126000,NA,-26126000,-26126000,-26126000,-1020000,3748000,NA,NA,NA,NA,-21380000,-342000,20744000,NA,5573000,NA,NA,19833000,19921000,4114000,201828,2018,"Q4","2018-09-12","2018-09-12",11101054,11101054,29900000,58000,NA,32036000,5678000,383000,863000,6924000,38960000,8548000,NA,8548000,NA,1905000,10453000,244204000,NA,-215697000,28507000,38960000,"PLURISTEM THERAPEUTICS INC",106002
"12088","PSX","2018-12-31","USD",1.14156e+11,-9.793e+10,1.6226e+10,-8.361e+09,-1.677e+09,NA,-1.356e+09,7.865e+09,-4.43e+08,-5.04e+08,7.422e+09,2.3e+07,7.445e+09,-1.572e+09,5.873e+09,NA,5.595e+09,5.595e+09,5.873e+09,6.17e+08,-2.73e+08,NA,NA,NA,NA,7.573e+09,-2.583e+09,NA,NA,-2.471e+09,-1.436e+09,1.04e+09,-4.478e+09,-5.167e+09,-1e+08,353084,2018,"Q4","2019-02-22","2019-02-22",461327000,465442000,3.019e+09,5.414e+09,3.543e+09,1.3209e+10,2.2018e+10,1.4421e+10,4.654e+09,4.1093e+10,5.4302e+10,7.702e+09,6.7e+07,8.935e+09,1.1093e+10,1.8214e+10,2.7149e+10,1.9879e+10,-1.5023e+10,2.0489e+10,2.7153e+10,5.4302e+10,"Phillips 66",107001
"12104","PTEN","2018-12-31","USD",3326997000,-2149554000,1177443000,-1109924000,-134071000,NA,-916318000,67519000,-45231000,-45981000,22288000,-389696000,-367408000,45987000,-321421000,NA,-321421000,-321421000,-321421000,180656000,-44883000,NA,NA,NA,NA,730670000,-594101000,NA,-14211000,-584552000,-30589000,253194000,-161252000,56864000,202201000,345674,2018,"Q4","2019-02-13","2019-02-13",215637000,215637000,245029000,558817000,65579000,950197000,4002549000,NA,517120000,4519669000,5469866000,526316000,NA,526316000,1119205000,1438127000,1964443000,2829827000,-1080448000,1753557000,3505423000,5469866000,"PATTERSON UTI ENERGY INC",107006
"12112","PTN","2018-06-30","USD",67134758,NA,67134758,-41208193,-8641976,-32566217,NA,25926565,-1141351,-1452014,24785214,NA,24785214,-82500,24702714,NA,24702714,24702714,24702714,3193844,-26250024,NA,NA,NA,NA,1703103,-22451,0,NA,227549,NA,-8014324,3770892,-4130805,-2200153,642335,2018,"Q4","2018-09-13","2018-09-13",200568026,226472122,38000171,0,NA,38513859,164035,NA,338916,502951,39016810,4326714,5948763,10762965,332898,1288936,12051901,359010775,NA,-332045906,26964909,39016810,"PALATIN TECHNOLOGIES INC",106001
"12122","PURE","2018-07-31","USD",1774000,-763000,1011000,-8053000,-5235000,-459000,NA,-7042000,17000,-8000,-7025000,-417000,-7442000,NA,-7442000,NA,-7442000,-7442000,-7442000,3106000,164000,NA,NA,NA,NA,-3887000,-34000,NA,NA,-34000,NA,3132000,0,3132000,-789000,53064,2018,"Q4","2018-10-25","2018-10-25",68093624,68093624,851000,275000,197000,1456000,461000,NA,658000,1119000,2575000,778000,503000,1281000,NA,13000,1294000,118205000,NA,-116924000,1281000,2575000,"PURE BIOSCIENCE, INC.",102002
