"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"121",121,121,19405,4,"Windsor Flórida"," Flamengo",2.9,0.6,4,1724,44,1,1,0,8.5,0,0,1
"122",122,122,2312705,4,"Lapa Ville Hotel"," Centro do Rio de Janeiro",1.6,1.6,NA,1144,19,0,0,1,8.5,1,0,0
"123",123,123,1086311,5,"Residencial Budget"," Copacabana",7,0.85,3,826,28,1,1,1,8.6,0,0,1
"124",124,124,315321,5,"Hotel Venezuela"," Flamengo",3.6,0,2,520,21,1,1,1,7.7,0,0,1
"125",125,125,408824,5,"Brisa Barra Hotel"," Barra da Tijuca",21,0,4,1063,62,1,1,0,8.5,0,1,0
"126",126,126,47473,5,"Mercure RJ Botafogo Mourisco"," Botafogo",5,0.7,4,295,54,0,0,0,8.2,0,0,1
"127",127,127,14955,5,"Santa Teresa Hotel RJ - MGallery"," Santa Teresa",2.5,1.9,5,235,240,1,1,1,9,1,0,0
"128",128,128,495410,5,"Hotel Galícia"," Centro do Rio de Janeiro",1.4,2.6,2,1099,15,1,1,0,6.6,1,0,0
"129",129,129,1041867,5,"Promenade Link Stay"," Barra da Tijuca",21,NA,4,1345,35,1,1,0,8.2,0,1,0
"130",130,130,618239,5,"Sant' Martre"," Santa Teresa",2.5,1.8,3,299,40,0,0,1,8.4,1,0,0
"131",131,131,331193,5,"Hotel Vilamar Copacabana"," Copacabana",8,0.4,4,807,38,1,1,0,8.7,0,0,1
"132",132,132,3965506,5,"L'Homme de Rio Boutique Hotel"," Copacabana",9,0.65,NA,269,79,1,1,1,8.8,0,0,1
"133",133,133,189027,5,"Hotel Golden Park Aeroporto Rio de Janeiro"," Glória",2.4,0.8,3,962,26,1,1,0,8.1,1,0,0
"134",134,134,15762,5,"Mengo Palace Hotel"," Flamengo",3,0,3,1598,31,1,1,1,8.4,0,0,1
"135",135,135,1977777,5,"ibis Rio Porto Atlantico"," Porto Maravilha",2.6,NA,3,279,31,0,0,0,8.9,1,0,0
"136",136,136,1709033,5,"Venit Barra Hotel"," Barra da Tijuca",23,NA,4,549,53,1,1,0,8.8,0,1,0
"137",137,137,1454231,5,"Hotel Vitória"," Catete",2.9,0.65,NA,1234,15,1,1,1,8,0,0,1
"138",138,138,189064,5,"Hotel Rondônia Palace"," Flamengo",3.1,0.55,3,675,27,1,1,0,8.1,0,0,1
"139",139,139,1816965,5,"Residencial Sausalito"," Copacabana",7,0.85,4,799,23,1,1,0,8.4,0,0,1
"140",140,140,12169,5,"The Villa"," Santa Teresa",4.1,1.9,4,561,79,1,1,1,8.1,1,0,0
"141",141,141,274872,5,"Argentina Hotel"," Flamengo",4,1,3,1051,21,1,1,1,8,0,0,1
"142",142,142,1883840,5,"Selina Lapa Rio de Janeiro"," Centro do Rio de Janeiro",1.4,1.8,3,3020,78,0,0,0,8.7,1,0,0
"143",143,143,351795,5,"Itajubá Hotel"," Centro do Rio de Janeiro",1.2,2,2,993,25,1,1,1,7.8,1,0,0
"144",144,144,816746,5,"Hotel Rio Claro"," Flamengo",3,0.65,NA,879,15,1,1,1,8,0,0,1
"145",145,145,189951,5,"Mar Palace Copacabana Hotel"," Copacabana",7,0.75,4,1032,36,1,1,0,8.5,0,0,1
"146",146,146,636883,5,"Ibiza Barra Hotel"," Barra da Tijuca",17,1.3,3,641,27,1,1,0,6.8,0,1,0
"147",147,147,287192,6,"Ace Suites Inn Rio"," Botafogo",5,0,3,845,30,1,1,1,8,0,0,1
"148",148,148,189005,6,"Américas Benidorm Hotel"," Copacabana",7,0.55,4,728,30,0,0,1,8.5,0,0,1
"149",149,149,13850,6,"Royalty Copacabana Hotel"," Copacabana",7,1,4,1004,41,1,1,0,6.2,0,0,1
"150",150,150,300639,6,"CabanaCopa Hostel"," Copacabana",6,1.1,NA,337,21,0,0,1,7.6,0,0,1
"151",151,151,19389,6,"Windsor Guanabara"," Centro do Rio de Janeiro",0.1,NA,4,1035,51,1,1,0,8.4,1,0,0
"152",152,152,2490729,6,"Hygge House Barra da Tijuca"," Barra da Tijuca",17,2,NA,698,25,1,1,1,8.7,0,1,0
"153",153,153,321707,6,"Ipanema Beach House"," Ipanema",9,1,NA,1288,33,0,0,1,8.2,0,0,1
"154",154,154,263285,6,"Boutique Hotel Gávea Tropical"," Gávea",11,1.3,3,60,37,1,1,1,7.6,0,0,1
"155",155,155,392209,6,"Hotel Primor (Adult Only)"," Centro do Rio de Janeiro",0.95,2.8,NA,635,18,1,1,0,7.9,1,0,0
"156",156,156,1909675,6,"Ipanema Beach Hostel"," Ipanema",10,1.1,NA,853,41,0,0,1,8.2,0,0,1
"157",157,157,1803094,6,"Room Office & Beach Guest House - Go Make A Trip"," Barra da Tijuca",21,0,3,545,21,0,0,1,8.6,0,1,0
"158",158,158,1093048,6,"Rio Aeroporto Hotel"," Ilha do Governador",12,NA,4,2279,62,1,1,0,7.6,0,0,0
"159",159,159,815176,6,"La Suite by Dussol"," Joatinga",16,0.45,4,201,238,1,1,1,9.3,0,1,0
"160",160,160,330618,6,"Imperial Hotel"," Catete",2.9,0.6,3,1040,28,0,1,1,8.3,0,0,1
"161",161,161,1884744,6,"OYO Toy Barra Hotel"," Barra da Tijuca",17,0.95,3,452,25,1,1,0,6.8,0,1,0
"162",162,162,19353,6,"Windsor Astúrias"," Centro do Rio de Janeiro",1.2,1.9,3,740,34,1,1,0,8.6,1,0,0
"163",163,163,850450,6,"Hotel Encontros (Adult Only)"," Centro do Rio de Janeiro",1.1,2.5,NA,419,16,0,0,0,8,1,0,0
"164",164,164,3595258,6,"Apartamento em Copacabana ( posto 5 )"," Copacabana",8,0,3,27,102,0,0,0,9.1,0,0,1
