"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"66",66,16762,2,"Atlantis Copacabana Hotel"," Ipanema","9 km do centro"," A 250 m da praia",3,"2 658","€ 41",1,1,"1","8,6"
"67",67,19402,2,"Windsor Martinique"," Copacabana","8 km do centro"," A 750 m da praia",3,"1 409","€ 40",1,1,"0","8,8"
"68",68,1703827,2,"Radisson Rio de Janeiro Barra"," Barra da Tijuca","19 km do centro","",4,"1 397","€ 43",1,1,"0","8,7"
"69",69,1348654,2,"Ibis RJ Nova America Hotel"," Zona Norte","9 km do centro","",3,"937","€ 37",0,0,"0","8,5"
"70",70,97514,2,"Mar Ipanema Hotel"," Ipanema","9 km do centro"," A 1,2 km da praia",4,"788","€ 59",1,1,"0","8,2"
"71",71,13628,2,"Royalty Barra Hotel"," Barra da Tijuca","18 km do centro"," Em frente à praia",4,"1 330","€ 70",1,1,"1","7,6"
"72",72,97411,2,"Windsor Leme"," Leme","6 km do centro"," A 150 m da praia",4,"1 343","€ 74",1,1,"0","8,9"
"73",73,1725261,2,"Ramada by Wyndham Rio de Janeiro Recreio"," Recreio dos Bandeirantes","34 km do centro"," A 1,5 km da praia",3,"2 200","€ 28",0,1,"0","8,4"
"74",74,12163,2,"Hotel Atlântico Avenida"," Centro do Rio de Janeiro","300 m do centro","",3,"6 733","€ 13",1,1,"0","6,2"
"75",75,249518,3,"Mirasol Copacabana Hotel"," Copacabana","7 km do centro"," A 1 000 m da praia",4,"1 392","€ 40",1,1,"1","8,6"
"76",76,1301690,3,"Monza Hotel"," Barra da Tijuca","22 km do centro","",3,"1 888","€ 39",0,1,"0","8,7"
"77",77,23349,3,"Plaza Barra First"," Barra da Tijuca","24 km do centro","",4,"1 296","€ 44",1,1,"0","8,5"
"78",78,97520,3,"Novotel Rio de Janeiro Leme"," Leme","6 km do centro"," Em frente à praia",4,"389","€ 66",1,1,"0","8,5"
"79",79,1405159,3,"Américas Copacabana Hotel"," Copacabana","7 km do centro"," A 550 m da praia",4,"1 825","€ 34",0,0,"1","8,5"
"80",80,241249,3,"Copacabana Mar Hotel"," Copacabana","7 km do centro"," A 950 m da praia",4,"1 927","€ 28",1,1,"0","8,4"
"81",81,1701585,3,"Downtown Santana Hotel"," Centro do Rio de Janeiro","1,8 km do centro","",3,"1 739","€ 15",1,1,"0","8,0"
"82",82,1683069,3,"Days Inn by Wyndham Rio de Janeiro Lapa"," Centro do Rio de Janeiro","1,6 km do centro"," A 2,3 km da praia",4,"1 731","€ 23",1,1,"0","8,6"
"83",83,14752,3,"South American Copacabana Hotel"," Copacabana","9 km do centro"," A 600 m da praia",4,"1 251","€ 35",1,1,"1","8,4"
"84",84,1703831,3,"Ibis Rio De Janeiro Botafogo"," Botafogo","5 km do centro"," A 950 m da praia",3,"1 016","€ 34",0,0,"0","8,3"
